_id,FECHA,TEMPERATURA,PRECIPITACION,VIENTO,DISTRITO
1,2024-01-01T00:00:00Z,4.5,0.0,0,28079102
2,2024-01-02T00:00:00Z,3.2,0.1,0,28079102
3,2024-01-03T00:00:00Z,7.6,4.2,0,28079102
4,2024-01-04T00:00:00Z,7.4,3.9,0,28079102
5,2024-01-05T00:00:00Z,4.9,1.5,0,28079102
6,2024-01-06T00:00:00Z,4.6,0.0,0,28079102
7,2024-01-07T00:00:00Z,4.6,0.1,0,28079102
8,2024-01-08T00:00:00Z,2.9,0.0,0,28079102
9,2024-01-09T00:00:00Z,2.9,0.0,0,28079102
10,2024-01-10T00:00:00Z,3.9,0.7,0,28079102
11,2024-01-11T00:00:00Z,2.5,0.0,0,28079102
12,2024-01-12T00:00:00Z,1.1,0.2,0,28079102
13,2024-01-13T00:00:00Z,4.0,0.0,0,28079102
14,2024-01-14T00:00:00Z,5.4,1.3,0,28079102
15,2024-01-15T00:00:00Z,8.4,3.7,0,28079102
16,2024-01-16T00:00:00Z,9.7,0.1,0,28079102
17,2024-01-17T00:00:00Z,7.9,8.9,0,28079102
18,2024-01-18T00:00:00Z,8.2,0.2,0,28079102
19,2024-01-19T00:00:00Z,3.4,25.5,0,28079102
20,2024-01-20T00:00:00Z,2.9,0.0,0,28079102
21,2024-01-21T00:00:00Z,5.2,0.0,0,28079102
22,2024-01-22T00:00:00Z,3.9,0.0,0,28079102
23,2024-01-23T00:00:00Z,7.4,0.0,0,28079102
24,2024-01-24T00:00:00Z,10.1,0.0,0,28079102
25,2024-01-25T00:00:00Z,10.0,0.0,0,28079102
26,2024-01-26T00:00:00Z,10.7,0.0,0,28079102
27,2024-01-27T00:00:00Z,11.1,0.0,0,28079102
28,2024-01-28T00:00:00Z,9.5,0.0,0,28079102
29,2024-01-29T00:00:00Z,8.5,0.0,0,28079102
30,2024-01-30T00:00:00Z,6.7,0.0,0,28079102
31,2024-01-31T00:00:00Z,3.8,0.0,0,28079102
32,2024-02-01T00:00:00Z,8.7,0.0,0,28079102
33,2024-02-02T00:00:00Z,8.5,0.0,0,28079102
34,2024-02-03T00:00:00Z,8.0,0.0,0,28079102
35,2024-02-04T00:00:00Z,8.8,0.0,0,28079102
36,2024-02-05T00:00:00Z,8.0,0.0,0,28079102
37,2024-02-06T00:00:00Z,7.3,0.0,0,28079102
38,2024-02-07T00:00:00Z,6.2,0.0,0,28079102
39,2024-02-08T00:00:00Z,6.2,0.5,0,28079102
40,2024-02-09T00:00:00Z,6.1,12.7,0,28079102
41,2024-02-10T00:00:00Z,5.3,0.8,0,28079102
42,2024-02-11T00:00:00Z,2.9,0.1,0,28079102
43,2024-02-12T00:00:00Z,6.7,0.1,0,28079102
44,2024-02-13T00:00:00Z,9.2,0.0,0,28079102
45,2024-02-14T00:00:00Z,10.6,0.0,0,28079102
46,2024-02-15T00:00:00Z,8.8,3.2,0,28079102
47,2024-02-16T00:00:00Z,9.1,0.1,0,28079102
48,2024-02-17T00:00:00Z,8.9,0.0,0,28079102
49,2024-02-18T00:00:00Z,9.2,0.0,0,28079102
50,2024-02-19T00:00:00Z,10.5,0.0,0,28079102
51,2024-02-20T00:00:00Z,10.3,0.0,0,28079102
52,2024-02-21T00:00:00Z,8.4,0.0,0,28079102
53,2024-02-22T00:00:00Z,7.6,4.1,0,28079102
54,2024-02-23T00:00:00Z,4.1,0.3,0,28079102
55,2024-02-24T00:00:00Z,4.2,0.0,0,28079102
56,2024-02-25T00:00:00Z,6.3,0.3,0,28079102
57,2024-02-26T00:00:00Z,6.1,0.1,0,28079102
58,2024-02-27T00:00:00Z,4.4,0.0,0,28079102
59,2024-02-28T00:00:00Z,6.0,0.0,0,28079102
60,2024-02-29T00:00:00Z,5.8,0.0,0,28079102
61,2024-03-01T00:00:00Z,4.7,0.0,0,28079102
62,2024-03-02T00:00:00Z,2.8,11.2,0,28079102
63,2024-03-03T00:00:00Z,2.8,0.3,0,28079102
64,2024-03-04T00:00:00Z,5.7,0.0,0,28079102
65,2024-03-05T00:00:00Z,6.6,0.0,0,28079102
66,2024-03-06T00:00:00Z,5.9,0.0,0,28079102
67,2024-03-07T00:00:00Z,4.9,5.6,0,28079102
68,2024-03-08T00:00:00Z,3.1,6.8,0,28079102
69,2024-03-09T00:00:00Z,2.4,6.0,0,28079102
70,2024-03-10T00:00:00Z,4.4,3.1,0,28079102
71,2024-03-11T00:00:00Z,6.8,0.0,0,28079102
72,2024-03-12T00:00:00Z,7.6,0.0,0,28079102
73,2024-03-13T00:00:00Z,9.7,0.0,0,28079102
74,2024-03-14T00:00:00Z,9.2,0.0,0,28079102
75,2024-03-15T00:00:00Z,9.3,0.0,0,28079102
76,2024-03-16T00:00:00Z,10.1,0.0,0,28079102
77,2024-03-17T00:00:00Z,13.2,0.0,0,28079102
78,2024-03-18T00:00:00Z,13.5,0.0,0,28079102
79,2024-03-19T00:00:00Z,15.0,0.0,0,28079102
80,2024-03-20T00:00:00Z,14.3,0.0,0,28079102
81,2024-03-21T00:00:00Z,14.8,0.3,0,28079102
82,2024-03-22T00:00:00Z,15.8,0.0,0,28079102
83,2024-03-23T00:00:00Z,15.4,0.0,0,28079102
84,2024-03-24T00:00:00Z,13.1,0.0,0,28079102
85,2024-03-25T00:00:00Z,8.9,2.9,0,28079102
86,2024-03-26T00:00:00Z,3.7,1.4,0,28079102
87,2024-03-27T00:00:00Z,5.6,0.9,0,28079102
88,2024-03-28T00:00:00Z,7.4,12.6,0,28079102
89,2024-03-29T00:00:00Z,4.2,6.9,0,28079102
90,2024-03-30T00:00:00Z,3.8,6.9,0,28079102
91,2024-03-31T00:00:00Z,3.1,7.6,0,28079102
92,2024-04-01T00:00:00Z,4.5,1.1,0,28079102
93,2024-04-02T00:00:00Z,6.9,0.0,0,28079102
94,2024-04-03T00:00:00Z,9.7,0.0,0,28079102
95,2024-04-04T00:00:00Z,11.5,0.0,0,28079102
96,2024-04-05T00:00:00Z,13.4,0.0,0,28079102
97,2024-04-06T00:00:00Z,16.1,0.0,0,28079102
98,2024-04-07T00:00:00Z,14.8,0.0,0,28079102
99,2024-04-08T00:00:00Z,10.4,0.7,0,28079102
100,2024-04-09T00:00:00Z,7.8,0.0,0,28079102
101,2024-04-10T00:00:00Z,10.3,0.0,0,28079102
102,2024-04-11T00:00:00Z,15.4,0.0,0,28079102
103,2024-04-12T00:00:00Z,15.5,0.0,0,28079102
104,2024-04-13T00:00:00Z,17.0,0.0,0,28079102
105,2024-04-14T00:00:00Z,17.6,0.0,0,28079102
106,2024-04-15T00:00:00Z,17.9,0.0,0,28079102
107,2024-04-16T00:00:00Z,15.9,0.0,0,28079102
108,2024-04-17T00:00:00Z,11.7,0.0,0,28079102
109,2024-04-18T00:00:00Z,11.2,0.0,0,28079102
110,2024-04-19T00:00:00Z,10.9,0.0,0,28079102
111,2024-04-20T00:00:00Z,14.0,0.0,0,28079102
112,2024-04-21T00:00:00Z,13.1,0.0,0,28079102
113,2024-04-22T00:00:00Z,9.0,0.0,0,28079102
114,2024-04-23T00:00:00Z,6.8,0.0,0,28079102
115,2024-04-24T00:00:00Z,8.4,0.0,0,28079102
116,2024-04-25T00:00:00Z,10.4,0.0,0,28079102
117,2024-04-26T00:00:00Z,10.2,0.0,0,28079102
118,2024-04-27T00:00:00Z,7.7,8.0,0,28079102
119,2024-04-28T00:00:00Z,9.3,0.0,0,28079102
120,2024-04-29T00:00:00Z,9.5,0.0,0,28079102
121,2024-04-30T00:00:00Z,10.1,0.0,0,28079102
122,2024-05-01T00:00:00Z,7.5,0.0,0,28079102
