_id,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AREARECREATIVAID,FECHA
ES-1,2,1,REGULAR,18510,2021-03-27T00:00:00Z
ES-10,2,2,ACEPTABLE,52223,2023-05-24T00:00:00Z
ES-100,3,4,MUY BUENO,17447,2021-01-14T00:00:00Z
ES-1000,4,5,EXCELENTE,17396,2022-09-27T00:00:00Z
ES-1001,2,3,ACEPTABLE,17133,2021-02-06T00:00:00Z
ES-1002,1,2,REGULAR,17725,2023-04-03T00:00:00Z
ES-1003,3,4,MUY BUENO,17737,2023-08-12T00:00:00Z
ES-1004,4,4,EXCELENTE,7538071,2023-04-28T00:00:00Z
ES-1005,3,3,MUY BUENO,52031,2021-08-27T00:00:00Z
ES-1006,5,5,EXCELENTE,5219929,2021-04-05T00:00:00Z
ES-1007,4,4,EXCELENTE,17330,2023-09-20T00:00:00Z
ES-1008,4,4,EXCELENTE,17054,2023-11-23T00:00:00Z
ES-1009,5,5,EXCELENTE,17442,2022-04-18T00:00:00Z
ES-101,3,2,ACEPTABLE,5653899,2022-10-05T00:00:00Z
ES-1010,5,5,EXCELENTE,7862164,2022-03-25T00:00:00Z
ES-1011,5,4,EXCELENTE,17907,2021-06-22T00:00:00Z
ES-1012,3,4,MUY BUENO,18470,2021-07-28T00:00:00Z
ES-1013,2,2,ACEPTABLE,52185,2023-05-15T00:00:00Z
ES-1014,5,5,EXCELENTE,17013,2021-01-01T00:00:00Z
ES-1015,5,5,EXCELENTE,5213823,2023-07-13T00:00:00Z
ES-1016,5,5,EXCELENTE,5218552,2021-05-29T00:00:00Z
ES-1017,1,1,DEFICIENTE,18215,2022-02-01T00:00:00Z
ES-1018,5,5,EXCELENTE,4737943,2022-07-10T00:00:00Z
ES-1019,3,3,MUY BUENO,18563,2023-06-11T00:00:00Z
ES-102,3,3,MUY BUENO,4749894,2021-06-08T00:00:00Z
ES-1020,1,1,DEFICIENTE,52121,2023-12-08T00:00:00Z
ES-1021,2,3,ACEPTABLE,18082,2023-01-25T00:00:00Z
ES-1022,4,3,MUY BUENO,17847,2021-11-12T00:00:00Z
ES-1023,1,1,DEFICIENTE,17057,2021-01-29T00:00:00Z
ES-1024,3,4,MUY BUENO,17579,2021-01-29T00:00:00Z
ES-1025,5,5,EXCELENTE,16698,2023-04-21T00:00:00Z
ES-1026,1,1,DEFICIENTE,5213834,2021-12-08T00:00:00Z
ES-1027,4,3,MUY BUENO,18590,2021-12-27T00:00:00Z
ES-1028,4,4,EXCELENTE,17506,2022-09-18T00:00:00Z
ES-1029,3,3,MUY BUENO,17301,2023-07-21T00:00:00Z
ES-103,2,3,ACEPTABLE,17848,2023-11-18T00:00:00Z
ES-1030,4,5,EXCELENTE,17267,2021-06-21T00:00:00Z
ES-1031,3,4,MUY BUENO,18630,2022-08-31T00:00:00Z
ES-1032,4,5,EXCELENTE,7895078,2021-05-27T00:00:00Z
ES-1033,1,2,REGULAR,17056,2023-02-06T00:00:00Z
ES-1034,3,2,ACEPTABLE,17724,2021-04-01T00:00:00Z
ES-1035,4,5,EXCELENTE,17139,2021-10-19T00:00:00Z
ES-1036,4,5,EXCELENTE,16858,2022-05-30T00:00:00Z
ES-1037,3,2,ACEPTABLE,7168553,2022-03-30T00:00:00Z
ES-1038,2,3,ACEPTABLE,7882667,2022-04-29T00:00:00Z
ES-1039,4,5,EXCELENTE,17156,2021-09-21T00:00:00Z
ES-104,1,1,DEFICIENTE,52192,2022-09-29T00:00:00Z
ES-1040,5,4,EXCELENTE,18165,2022-01-29T00:00:00Z
