ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AreaRecreativaID
1,2024/06/13,Robo,Alta,17538
2,07-16-2024,Cáídá,Baja,16724
3,2021/03/09,Caída,Crítica,18191
4,10-15-2023,Accidente,Media,52162
5,2022/06/25,Accidente,Alta,17397
6,08/06/2020,Robo,Baja,17260
7,2023/08/23,Vándálísmó,Crítica,7928031
8,2022-01-15,Accidente,Crítica,17278
9,27-08-2024,Vandalismo,Media,16729
10,04-11-2020,Accídénté,Crítica,17203
11,11/11/2023,Accidente,Media,18354
12,12-25-2020,Daño estructural,Media,17446
13,18-10-2020,Caída,Media,18411
14,09-25-2024,Caída,Media,18294
15,11-12-2019,Daño estructural,Media,52102
16,10-07-2024,Cáídá,Media,18321
17,07-12-2020,Vándálísmó,Baja,18203
18,2020/01/30,Daño estructural,Media,17181
19,07-21-2020,Vandalismo,Alta,17701
20,2021/08/14,Daño estructural,Baja,52114
21,2020-10-09,Daño estructural,Baja,17907
22,2019-11-18,Vandalismo,Media,52105
23,08-04-2022,Caída,Media,7889423
24,03-06-2024,Caída,Media,18118
25,2021/06/03,Robo,Baja,52060
26,2020/11/16,Vandalismo,Alta,6880820
27,2019/11/27,Accídénté,Media,17849
28,2023-09-18,Daño estructural,Crítica,17769
29,22-10-2023,Accidente,Baja,17091
30,2020-08-23,Daño estructural,Alta,5219934
31,06-15-2021,Vandalismo,Alta,17629
32,2024-04-13,Caída,Crítica,18355
33,01/06/2020,Cáídá,Baja,17149
34,2024/07/16,Accidente,Alta,17768
35,12/01/2024,Vandalismo,Baja,16763
36,28-07-2024,Cáídá,Media,3568959
37,13/09/2023,Accidente,Crítica,16928
38,26/07/2024,Accidente,Alta,17026
39,2024-03-24,Daño estructural,Crítica,4985928
40,08-03-2022,Caída,Alta,3573055
41,27-09-2023,Daño estructural,Crítica,18010
42,14/04/2023,Accidente,Media,17765
43,2021-01-12,Daño estructural,Alta,7356671
44,16/04/2021,Daño estructural,Baja,17256
45,10-02-2024,Accidente,Media,16731
46,17-05-2022,Caída,Crítica,18492
47,11-04-2021,Robo,Media,17123
48,08-10-2021,Caída,Alta,8799950
49,2023/11/13,Daño estructural,Media,17311
50,26/07/2020,Dáñó éstrúctúrál,Media,18430
51,03/10/2021,Caída,Baja,18519
52,2024/01/22,Accidente,Alta,52055
53,04-03-2021,Caída,Crítica,52088
